cruise,cast,niskin,niskin_second_cast,replicate,vol_filtered,filter_size,fd_calibrated,tau_calibrated,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
en608,1,11-12-13-14,NA',a,151,>0&<200,1.393,2.13,122,64.1,0.521,121.479,63.579,6.04094863740257,1.45486388352458,1
en608,1,11-12-13-14,NA',b,151,>0&<200,1.393,2.13,148,73.8,0.521,147.479,73.279,7.74159566313075,0.897823731968583,1
en608,1,11-12-13-14,NA',c,151,>0&<200,1.393,2.13,132,70.8,0.521,131.479,70.279,6.38525140948251,1.90047513793471,1
en608,1,11-12-13-14,NA',a,151,>10&<200,1.393,2.13,103,51.2,0.521,102.479,50.679,5.40451017992147,0.570423095972572,1
en608,1,11-12-13-14,NA',b,151,>10&<200,1.393,2.13,114,61.4,0.521,113.479,60.879,5.48797751860752,1.68951143940573,1
en608,1,11-12-13-14,NA',c,151,>10&<200,1.393,2.13,122,60.7,0.521,121.479,60.179,6.39568482681826,0.699275800069157,1
en608,1,11-12-13-14,NA',a,151,>5&<200,1.393,2.13,115,58.1,0.521,114.479,57.579,5.93661446404501,0.851812361517905,1
en608,1,11-12-13-14,NA',b,151,>5&<200,1.393,2.13,110,56.2,0.521,109.479,55.679,5.61317852663658,0.951242828727657,1
en608,1,11-12-13-14,NA',c,151,>5&<200,1.393,2.13,117,58.8,0.521,116.479,58.279,6.07224888940984,0.798706267278906,1
en608,1,11-12-13-14,NA',a,151,>20&<200,1.393,2.13,100,54.9,0.521,99.479,54.379,4.70547121842583,1.70568323627615,1
en608,1,11-12-13-14,NA',b,151,>20&<200,1.393,2.13,89.9,56.9,0.521,89.379,56.379,3.44302772079939,3.20392196569067,1
en608,1,11-12-13-14,NA',c,151,>20&<200,1.393,2.13,87.5,56.1,0.521,86.979,55.579,3.2760930434273,3.27653855034754,1
en608,5,17-18-19-20,NA',a,151,>0&<200,1.393,2.13,71,44.4,0.501,70.499,43.899,2.77528901131102,2.40029842882143,1
en608,5,17-18-19-20,NA',b,151,>0&<200,1.393,2.13,68.7,42.1,0.501,68.199,41.599,2.77528901131102,2.12913391226514,1
en608,5,17-18-19-20,NA',c,151,>0&<200,1.393,2.13,72.5,42.9,0.501,71.999,42.399,3.0882915313837,1.9104494849077,1
en608,5,17-18-19-20,NA',a,151,>10&<200,1.393,2.13,63.3,32.2,0.501,62.799,31.699,3.24479279142003,0.492443734805135,2
en608,5,17-18-19-20,NA',b,151,>10&<200,1.393,2.13,61.9,31.6,0.501,61.399,31.099,3.16132545273399,0.505172503954756,2
en608,5,17-18-19-20,NA',c,151,>10&<200,1.393,2.13,62.5,31.5,0.501,61.999,30.999,3.23435937408428,0.420348821015061,2
en608,5,17-18-19-20,NA',a,151,>5&<200,1.393,2.13,66.3,34.8,0.501,65.799,34.299,3.28652646076305,0.757243866786614,1
en608,5,17-18-19-20,NA',b,151,>5&<200,1.393,2.13,59.6,32.5,0.501,59.099,31.999,2.8274560979898,0.945149713003574,1
en608,5,17-18-19-20,NA',c,151,>5&<200,1.393,2.13,67,34,0.501,66.499,33.499,3.44302772079939,0.506424514035047,1
en608,5,17-18-19-20,NA',a,151,>20&<200,1.393,2.13,60.6,30.4,0.501,60.099,29.899,3.15089203539823,0.374128782217663,1
en608,5,17-18-19-20,NA',b,151,>20&<200,1.393,2.13,45.1,24.1,0.501,44.599,23.599,2.1910176405087,0.59124819697474,1
en608,5,17-18-19-20,NA',c,151,>20&<200,1.393,2.13,45.2,24.7,0.501,44.699,24.199,2.13885055382993,0.714153853189942,1
en608,8,20-21-22-23,NA',a,151,>0&<200,1.393,2.13,77.3,44,0.505,76.795,43.495,3.47432797280666,1.6536288305046,1
en608,8,20-21-22-23,NA',b,151,>0&<200,1.393,2.13,71.7,40.6,0.505,71.195,40.095,3.24479279142003,1.48231211785149,1
en608,8,20-21-22-23,NA',c,151,>0&<200,1.393,2.13,69.8,44.2,0.505,69.295,43.695,2.67095483795347,2.4805814885366,1
en608,8,20-21-22-23,NA',a,151,>10&<200,1.393,2.13,46.3,33,0.505,45.795,32.495,1.38764450565551,2.44343852282131,3
en608,8,20-21-22-23,NA',b,151,>10&<200,1.393,2.13,61.8,33.8,0.505,61.295,33.295,2.9213568540116,1.00404426718045,1
en608,8,20-21-22-23,NA',c,151,>10&<200,1.393,2.13,48.4,34.2,0.505,47.895,33.695,1.48154526167731,2.49101490587236,3
en608,8,20-21-22-23,NA',a,151,>5&<200,1.393,2.13,64.1,34,0.505,63.595,33.495,3.14045861806247,0.808522026308387,1
en608,8,20-21-22-23,NA',b,151,>5&<200,1.393,2.13,63,31.5,0.505,62.495,30.995,3.28652646076305,0.367710143872708,1
en608,8,20-21-22-23,NA',c,151,>5&<200,1.393,2.13,63.7,33.7,0.505,63.195,33.195,3.13002520072672,0.78358615887593,1
en608,8,20-21-22-23,NA',a,151,>20&<200,1.393,2.13,58.1,31.8,0.505,57.595,31.295,2.74398875930376,0.945617130100217,1
en608,8,20-21-22-23,NA',b,151,>20&<200,1.393,2.13,49.5,29.2,0.505,48.995,28.695,2.11798371915841,1.26508836892106,1
en608,8,20-21-22-23,NA',c,151,>20&<200,1.393,2.13,44.6,31.9,0.505,44.095,31.395,1.32504400164098,2.3763516493524,1
en608,15,22-23-24,NA',a,151,>0&<200,1.393,2.13,41.2,19.8,0.5475,40.6525,19.2525,2.23275130985173,0.0370725401482741,3
en608,15,22-23-24,NA',b,151,>0&<200,1.393,2.13,35.6,17.8,0.5475,35.0525,17.2525,1.85714828576452,0.176880332447401,2
en608,15,22-23-24,NA',c,151,>0&<200,1.393,2.13,NaN,NaN,0.5475,NaN,NaN,NaN,NaN,9
en608,15,22-23-24,NA',a,151,>10&<200,1.393,2.13,39.6,19.3,0.5475,39.0525,18.7525,2.11798371915841,0.0928913228945669,2
en608,15,22-23-24,NA',b,151,>10&<200,1.393,2.13,39.2,19.2,0.5475,38.6525,18.6525,2.08668346715115,0.11240181331243,2
en608,15,22-23-24,NA',c,151,>10&<200,1.393,2.13,NaN,NaN,0.5475,NaN,NaN,NaN,NaN,9
en608,19,11-12,NA',a,151,>0&<200,1.393,2.13,38.6,23.5,0.541,38.059,22.959,1.57544601769912,1.13136534561214,1
en608,19,11-12,NA',b,151,>0&<200,1.393,2.13,39.7,25,0.541,39.159,24.459,1.53371234835609,1.34994543879622,1
en608,19,11-12,NA',c,151,>0&<200,1.393,2.13,36.4,21.9,0.541,35.859,21.359,1.51284551368458,1.00532966419621,1
en608,19,15,NA',a,151,>0&<200,1.393,2.13,38.2,26.8,0.541,37.659,26.259,1.18940957627615,1.90646391948544,1
en608,19,15,NA',b,151,>0&<200,1.393,2.13,47.3,29.3,0.541,46.759,28.759,1.87801512043603,1.51260241506066,1
en608,19,15,NA',c,151,>0&<200,1.393,2.13,45.9,27.5,0.541,45.359,26.959,1.91974878977905,1.25865303710836,1
en608,19,21-22-23,NA',a,151,>0&<200,1.393,2.13,50.2,34.1,0.541,49.659,33.559,1.76376920060951,2.39058319576798,1
en608,19,21-22-23,NA',b,151,>0&<200,1.393,2.13,42.8,25.3,0.541,42.259,24.759,1.91714043544512,1.14783799007144,1
en608,19,21-22-23,NA',c,151,>0&<200,1.393,2.13,43.4,25,0.541,42.859,24.459,2.01573622926801,1.01210444724193,1
en608,19,21-22-23,NA',a,151,>10&<200,1.393,2.13,26.6,14.5,0.541,26.059,13.959,1.32556567250777,0.40245378877038,1
en608,19,21-22-23,NA',b,151,>10&<200,1.393,2.13,24.5,13.7,0.541,23.959,13.159,1.1831495258747,0.445835938052452,1
en608,19,21-22-23,NA',c,151,>10&<200,1.393,2.13,23.3,12.1,0.541,22.759,11.559,1.22696987868487,0.203947590540291,1
en608,19,21-22-23,NA',a,151,>5&<200,1.393,2.13,25.2,13.3,0.541,24.659,12.759,1.30365549610268,0.275812969148977,1
