cruise,cast,niskin,replicate_chl,vol_filtered,filter_size,Fs,r,fo,fa,blank,fo_blank,fa_blank,chl,phaeo
en608,1',11-12-13-14',a,151,>0&<200,1.393,2.13,122,64.1,0.521,121.479,63.579,6.04094863740257,1.45486388352458
en608,1',11-12-13-14',b,151,>0&<200,1.393,2.13,148,73.8,0.521,147.479,73.279,7.74159566313075,0.897823731968583
en608,1',11-12-13-14',c,151,>0&<200,1.393,2.13,132,70.8,0.521,131.479,70.279,6.38525140948251,1.90047513793471
en608,1',11-12-13-14',a,151,>10&<200,1.393,2.13,103,51.2,0.521,102.479,50.679,5.40451017992147,0.570423095972572
en608,1',11-12-13-14',b,151,>10&<200,1.393,2.13,114,61.4,0.521,113.479,60.879,5.48797751860752,1.68951143940573
en608,1',11-12-13-14',c,151,>10&<200,1.393,2.13,122,60.7,0.521,121.479,60.179,6.39568482681826,0.699275800069157
en608,5',17-18-19-20',a,151,>0&<200,1.393,2.13,71,44.4,0.501,70.499,43.899,2.77528901131102,2.40029842882143
en608,5',17-18-19-20',b,151,>0&<200,1.393,2.13,68.7,42.1,0.501,68.199,41.599,2.77528901131102,2.12913391226514
en608,5',17-18-19-20',c,151,>0&<200,1.393,2.13,72.5,42.9,0.501,71.999,42.399,3.0882915313837,1.9104494849077
en608,5',17-18-19-20',a,151,>10&<200,1.393,2.13,63.3,32.2,0.501,62.799,31.699,3.24479279142003,0.492443734805135
en608,5',17-18-19-20',b,151,>10&<200,1.393,2.13,61.9,31.6,0.501,61.399,31.099,3.16132545273399,0.505172503954756
en608,5',17-18-19-20',c,151,>10&<200,1.393,2.13,62.5,31.5,0.501,61.999,30.999,3.23435937408428,0.420348821015061
en608,8',20-21-22-23',a,151,>0&<200,1.393,2.13,77.3,44,0.505,76.795,43.495,3.47432797280666,1.6536288305046
en608,8',20-21-22-23',b,151,>0&<200,1.393,2.13,71.7,40.6,0.505,71.195,40.095,3.24479279142003,1.48231211785149
en608,8',20-21-22-23',c,151,>0&<200,1.393,2.13,69.8,44.2,0.505,69.295,43.695,2.67095483795347,2.4805814885366
en608,8',20-21-22-23',a,151,>10&<200,1.393,2.13,46.3,33,0.505,45.795,32.495,1.38764450565551,2.44343852282131
