stationfullname,station,startDate,endDate,decimalLatitude,decimalLongitude,latitudeDegreesN,latitudeMinutesN,longitudeDegreesW,longitudeMinutesW,depth_m,comment
LTER1,L1,2018-01-01,current,41.1967,-70.8833,41,11.80,70,53.00,21,
,L1.2,2018-01-01,current,41.1633,-70.8833,41,9.80,70,53.00,,
,L1.25,2018-01-01,current,41.1550,-70.8833,41,9.30,70,53.00,30,cruise EN706 elog Station 2.5 nmi South of L1
,L1.5,2018-01-01,current,41.1133,-70.8833,41,6.80,70,53.00,38,
LTER2,L2,2018-01-01,current,41.0300,-70.8833,41,1.80,70,53.00,47,
,L2.25,2018-01-01,current,40.9883,-70.8833,40,59.30,70,53.00,,
,L2.5,2018-01-01,current,40.9467,-70.8833,40,56.80,70,53.00,53,
LTER3,L3,2018-01-01,current,40.8633,-70.8833,40,51.80,70,53.00,56,
LTER4,L4,2018-01-01,current,40.6967,-70.8833,40,41.80,70,53.00,66,
LTER5,L5,2018-01-01,2018-06-30,40.5300,-70.8833,40,31.80,70,53.00,,
LTER5,L5,2018-07-01,current,40.5133,-70.8833,40,30.80,70,53.00,75,"Nudged south in 2018 to avoid shipping channel. On cruise HRS2303, recorded as L05 in elog. "
,L5.5,2018-07-01,current,40.4383,-70.8833,40,26.30,70,53.00,,started on cruise HRS2303
LTER6,L6,2014-01-01,current,40.3633,-70.8833,40,21.80,70,53.00,95,OOI Inshore (IS). Established as OOI Pioneer site circa January 2014. 
LTER7,L7,2014-01-01,2022-12-31,40.2267,-70.8833,40,13.60,70,53.00,129,OOI Central Inshore (CI)
LTER7,L7,2023-01-01,current,40.2575,-70.8833,40,15.45,70,53.00,120,"Shifted north post OOI; starting in Jan 2023, L8 was moved West to be on the main line and L7 & L9 were moved slightly North and South respectively to make stations from L6 to L10 equidistant. On cruise HRS2303, recorded as L07 in elog. "
,L7.5,2018-01-01,2022-12-31,40.1625,-70.8833,40,9.75,70,53.00,,
LTER8,L8,2014-01-01,2022-12-31,40.1367,-70.7750,40,8.20,70,46.50,137,OOI Central (CN)
LTER8,L8,2023-01-01,current,40.1517,-70.8833,40,9.10,70,53.00,137,"Shifted NW post OOI; starting in Jan 2023, L8 was moved West to be on the main line and L7 & L9 were moved slightly North and South respectively to make stations from L6 to L10 equidistant"
,L8.5,2023-01-01,current,40.0988,-70.8833,40,5.93,70,53.00,,started on cruise EN706
LTER9,L9,2014-01-01,2022-12-31,40.0983,-70.8833,40,5.90,70,53.00,150,OOI Central Offshore (CO)
LTER9,L9,2023-01-01,current,40.0458,-70.8833,40,2.75,70,53.00,205,"Shifted south post OOI; starting in Jan 2023, L8 was moved West to be on the main line and L7 & L9 were moved slightly North and South respectively to make stations from L6 to L10 equidistant"
,L9.5,2018-01-01,2022-12-31,40.0192,-70.8833,40,1.15,70,53.00,,
