cruise,station,cast,niskin,replicate,filter_size,quality_flag
AR22,,1,1,a,>0,1
AR22,,1,1,b,>0,1
AR22,,1,2,a,>0,3
AR22,,1,2,b,>0,1
AR22,,1,3,a,>0,1
AR22,,1,3,b,>0,1
AR22,,1,4,a,>0,1
AR22,,1,4,b,>0,1
AR22,,1,4,a,<10,2
AR22,,1,4,b,<10,2
AR22,,2,1,a,>0,1
AR22,,2,1,b,>0,1
AR22,,2,2,a,>0,1
AR22,,2,2,b,>0,1
AR22,,2,3,a,>0,1
AR22,,2,3,b,>0,1
AR22,,2,4,a,>0,1
AR22,,2,4,b,>0,1
AR22,,2,5,a,>0,1
AR22,,2,5,b,>0,1
AR22,,2,6,a,>0,2
AR22,,2,6,b,>0,1
AR22,,2,6,a,<10,1
AR22,,2,6,b,<10,2
AR22,,3,1,a,>0,2
AR22,,3,1,b,>0,1
AR22,,3,2,a,>0,2
AR22,,3,2,b,>0,1
AR22,,3,3,a,>0,1
AR22,,3,3,b,>0,1
AR22,,3,4,a,>0,1
AR22,,3,4,b,>0,1
AR22,,3,5,a,>0,1
AR22,,3,5,b,>0,1
AR22,,3,6,a,>0,1
AR22,,3,6,b,>0,1
AR22,,3,6,a,<10,1
AR22,,4,1,a,>0,1
AR22,,4,1,b,>0,1
AR22,,4,2,a,>0,1
AR22,,4,2,b,>0,1
AR22,,4,3,a,>0,1
AR22,,4,3,b,>0,1
AR22,,4,4,a,>0,1
AR22,,4,4,b,>0,1
AR22,,4,5,a,>0,1
AR22,,4,5,b,>0,1
AR22,,4,6,a,>0,1
AR22,,4,6,b,>0,1
AR22,,4,6,a,<10,1
AR22,,4,6,b,<10,1
AR22,,5,1,a,>0,2
AR22,,5,1,b,>0,1
AR22,,5,2,a,>0,2
AR22,,5,2,b,>0,1
AR22,,5,3,a,>0,1
AR22,,5,3,b,>0,1
AR22,,5,4,a,>0,1
AR22,,5,4,b,>0,1
AR22,,5,5,a,>0,1
AR22,,5,5,b,>0,1
AR22,,5,6,a,>0,1
AR22,,5,6,b,>0,1
AR22,,5,6,a,<10,1
AR22,,5,6,b,<10,1
AR22,,6,1,a,>0,1
AR22,,6,1,b,>0,1
AR22,,6,2,a,>0,1
AR22,,6,2,b,>0,1
AR22,,6,3,a,>0,1
AR22,,6,3,b,>0,1
AR22,,6,4,a,>0,1
AR22,,6,4,b,>0,1
AR22,,6,5,a,>0,1
AR22,,6,5,b,>0,
AR22,,6,6,a,>0,1
AR22,,6,6,b,>0,1
AR22,,6,6,a,<10,1
AR22,,6,6,b,<10,1
AR22,,7,2,a,>0,1
AR22,,7,2,b,>0,1
AR22,,7,3,a,>0,1
AR22,,7,3,b,>0,1
AR22,,7,4,a,>0,1
AR22,,7,4,b,>0,1
AR22,,7,5,a,>0,1
AR22,,7,5,b,>0,1
AR22,,7,6,a,>0,1
AR22,,7,6,b,>0,1
AR22,,7,6,a,<10,1
AR22,,7,6,b,<10,1
AR22,,8,1,a,>0,1
AR22,,8,1,b,>0,1
AR22,,8,3,a,>0,1
AR22,,8,3,b,>0,1
AR22,,8,4,a,>0,1
AR22,,8,4,b,>0,1
AR22,,8,5,a,>0,1
AR22,,8,5,b,>0,1
AR22,,8,6,a,>0,1
AR22,,8,6,b,>0,1
AR22,,8,7,a,>0,1
AR22,,8,7,b,>0,1
AR22,,8,7,a,<10,1
AR22,,8,7,b,<10,1
AR22,,9,3,a,>0,2
AR22,,9,3,b,>0,2
AR22,,9,4,a,>0,1
AR22,,9,4,b,>0,1
AR22,,9,5,a,>0,1
AR22,,9,5,b,>0,1
AR22,,9,6,a,>0,1
AR22,,9,6,b,>0,1
AR22,,9,7,a,>0,1
AR22,,9,7,b,>0,1
AR22,,9,8,a,>0,1
AR22,,9,8,b,>0,1
AR22,,9,9,a,>0,1
AR22,,9,9,b,>0,1
AR22,,9,9,a,<10,1
AR22,,9,9,b,<10,1
AR22,,10,2,a,>0,1
AR22,,10,2,b,>0,1
AR22,,10,3,a,>0,1
AR22,,10,3,b,>0,1
AR22,,10,4,a,>0,1
AR22,,10,4,b,>0,1
AR22,,10,5,a,>0,1
AR22,,10,5,b,>0,1
AR22,,10,6,a,>0,1
AR22,,10,6,b,>0,1
AR22,,10,7,a,>0,1
AR22,,10,7,b,>0,1
AR22,,10,8,a,>0,1
AR22,,10,8,b,>0,1
AR22,,10,8,a,<10,1
AR22,,10,8,b,<10,1
AR22,,11,1,a,>0,1
AR22,,11,1,b,>0,1
AR22,,11,2,a,>0,1
AR22,,11,2,b,>0,1
AR22,,11,3,a,>0,1
AR22,,11,3,b,>0,1
AR22,,11,4,a,>0,1
AR22,,11,4,b,>0,1
AR22,,11,5,a,>0,1
AR22,,11,5,b,>0,1
AR22,,11,6,a,>0,1
AR22,,11,6,b,>0,3
AR22,,11,6,a,<10,1
AR22,,11,6,b,<10,1
AR22,,12,1,a,>0,1
AR22,,12,1,b,>0,1
AR22,,12,2,a,>0,1
AR22,,12,2,b,>0,1
AR22,,12,3,a,>0,1
