cruise,cast,niskin,bottle_other_method,date,latitude,longitude,depth,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,nearest_station,station_distance
EN608,1,2,,2018-01-31 19:34:45,41.19634,-70.87844,17.48,a,282.0,>0,1.90201556461163,0.4842368919391789,516.8,298.9,1.05266666666667,515.747333333333,297.84733333333304,5.52286045806915,1.28662956329158,L1,0.4096358322037679
EN608,1,2,,2018-01-31 19:34:45,41.19634,-70.87844,17.48,b,282.0,>0,1.90201556461163,0.4842368919391789,561.5,326.7,1.05266666666667,560.447333333333,325.647333333333,5.951205303141969,1.4938580519641,L1,0.4096358322037679
EN608,1,5,,2018-01-31 19:37:05,41.19636,-70.87831,11.591,a,287.0,>0,1.90201556461163,0.4842368919391789,493.5,295.2,1.05266666666667,492.44733333333295,294.147333333333,4.938519420114099,1.6692213809073302,L1,0.42028470011458574
EN608,1,5,,2018-01-31 19:37:05,41.19636,-70.87831,11.591,b,285.0,>0,1.90201556461163,0.4842368919391789,514.4,298.7,1.05266666666667,513.3473333333329,297.647333333333,5.4095511739193896,1.32373566634771,L1,0.42028470011458574
EN608,1,9,,2018-01-31 19:40:43,41.19636,-70.87805999999999,7.022,a,288.0,>0,1.90201556461163,0.4842368919391789,508.7,296.8,1.05266666666667,507.647333333333,295.747333333333,5.25889400337005,1.36172093508113,L1,0.44117510931885306
EN608,1,9,,2018-01-31 19:40:43,41.19636,-70.87805999999999,7.022,b,288.0,>0,1.90201556461163,0.4842368919391789,530.0,307.7,1.05266666666667,528.947333333333,306.647333333333,5.51699923052932,1.3476236657139298,L1,0.44117510931885306
EN608,1,19,11-12-13-14,2018-01-31 19:45:42,41.19644,-70.87768,2.7260000000000004,a,283.0,>0,1.90201556461163,0.4842368919391789,520.7,311.9,1.05266666666667,519.647333333333,310.84733333333304,5.27351283367973,1.808075723273,L1,0.4723156314519
EN608,1,19,11-12-13-14,2018-01-31 19:45:42,41.19644,-70.87768,2.7260000000000004,b,283.0,>0,1.90201556461163,0.4842368919391789,524.3,309.9,1.05266666666667,523.247333333333,308.84733333333304,5.41494804377842,1.62107738428391,L1,0.4723156314519
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,a,151.0,>0,2.13,1.393,122.0,64.1,0.521,121.479,63.57899999999999,6.0409486370000005,1.454863884,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,b,151.0,>0,2.13,1.393,148.0,73.8,0.521,147.47899999999998,73.279,7.741595662999999,0.897823732,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,c,151.0,>0,2.13,1.393,132.0,70.8,0.521,131.47899999999998,70.279,6.385251408999999,1.900475138,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,a,151.0,>5,2.13,1.393,115.0,58.1,0.521,114.479,57.57899999999999,5.936614464,0.851812362,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,b,151.0,>5,2.13,1.393,110.0,56.2,0.521,109.479,55.678999999999995,5.6131785270000005,0.951242829,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,c,151.0,>5,2.13,1.393,117.0,58.8,0.521,116.479,58.278999999999996,6.072248889,0.798706267,L1,0.4687651612556892
EN608,1,5,,2018-01-31 19:37:05,41.19636,-70.87831,11.591,a,285.0,<10,1.90201556461163,0.4842368919391789,89.21,56.63,1.05266666666667,88.1573333333333,55.5773333333333,0.8170754624306619,0.44017795543008903,L1,0.42028470011458574
EN608,1,5,,2018-01-31 19:37:05,41.19636,-70.87831,11.591,b,283.0,<10,1.90201556461163,0.4842368919391789,98.44,62.24,1.05266666666667,97.3873333333333,61.1873333333333,0.9142776081379609,0.479665569425471,L1,0.42028470011458574
EN608,1,19,11-12-13-14,2018-01-31 19:45:42,41.19644,-70.87768,2.7260000000000004,a,282.0,<10,1.90201556461163,0.4842368919391789,73.0,47.69,1.05266666666667,71.9473333333333,46.6373333333333,0.6415034336564029,0.424735610360131,L1,0.4723156314519
EN608,1,19,11-12-13-14,2018-01-31 19:45:42,41.19644,-70.87768,2.7260000000000004,b,282.0,<10,1.90201556461163,0.4842368919391789,69.83,46.56,1.05266666666667,68.7773333333333,45.5073333333333,0.5897979020618129,0.450606686302482,L1,0.4723156314519
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,a,151.0,>10,2.13,1.393,103.0,51.2,0.521,102.479,50.678999999999995,5.40451018,0.570423096,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,b,151.0,>10,2.13,1.393,114.0,61.4,0.521,113.479,60.879,5.487977519,1.6895114390000001,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,c,151.0,>10,2.13,1.393,122.0,60.7,0.521,121.479,60.178999999999995,6.395684827,0.6992758000000001,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,a,151.0,>20,2.13,1.393,100.0,54.9,0.521,99.479,54.379,4.7054712180000005,1.705683236,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,b,151.0,>20,2.13,1.393,89.9,56.9,0.521,89.37899999999999,56.379,3.4430277210000004,3.2039219660000002,L1,0.4687651612556892
EN608,1,11-12-13-14,19,2018-01-31 19:44:59,41.19641,-70.877725,2.84375,c,151.0,>20,2.13,1.393,87.5,56.1,0.521,86.979,55.57899999999999,3.276093043,3.27653855,L1,0.4687651612556892
EN608,4,1,,2018-02-01 05:44:26,41.02064,-70.87162,43.662,a,282.0,>0,1.90201556461163,0.4842368919391789,374.0,219.8,1.05266666666667,372.94733333333295,218.74733333333302,3.90832988817927,1.09274823752473,L2,1.4301937675101657
EN608,4,1,,2018-02-01 05:44:26,41.02064,-70.87162,43.662,b,282.0,>0,1.90201556461163,0.4842368919391789,382.6,222.1,1.05266666666667,381.547333333333,221.04733333333303,4.0680087357508,0.98565279526307,L2,1.4301937675101657
EN608,4,4,,2018-02-01 05:47:15,41.02006,-70.87133,29.595,a,283.0,>0,1.90201556461163,0.4842368919391789,350.6,203.7,1.05266666666667,349.547333333333,202.64733333333302,3.7101486363388596,0.906474647642949,L2,1.4939985854160522
EN608,4,4,,2018-02-01 05:47:15,41.02006,-70.87133,29.595,b,285.0,>0,1.90201556461163,0.4842368919391789,359.7,208.9,1.05266666666667,358.647333333333,207.847333333333,3.78192080216525,0.9199379332888241,L2,1.4939985854160522
EN608,4,6,,2018-02-01 05:47:34,41.01998,-70.87125999999999,29.461,a,287.0,>0,1.90201556461163,0.4842368919391789,368.7,213.7,1.05266666666667,367.647333333333,212.64733333333302,3.8601639441133897,0.9167566717290271,L2,1.504531380143938
EN608,4,6,,2018-02-01 05:47:34,41.01998,-70.87125999999999,29.461,b,285.0,>0,1.90201556461163,0.4842368919391789,357.3,207.8,1.05266666666667,356.24733333333296,206.74733333333302,3.7493180366293504,0.927656835625463,L2,1.504531380143938
