"cruise","cast","niskin","date","latitude","longitude","depth","method_contributor","replicate","filter_id_ooi","filter_size","chl","phaeo","project_id"
"AR24B",3,"3",2017-10-28 15:38:09,39.9398333333333,-70.884,236.099218773015,"method_Sosik","a","03/01",">0",0.008,0.03,"OOI"
"AR24B",3,"7",2017-10-28 15:47:19,39.9398333333333,-70.884,22.1627932837632,"method_Sosik","a","03/02",">0",0.778,0.316,"OOI"
"AR24B",3,"8",2017-10-28 15:47:28,39.9398333333333,-70.884,22.2788848725353,"method_Sosik","a","03/03",">0",0.774,0.331,"OOI"
"AR24B",3,"10",2017-10-28 15:49:26,39.9398333333333,-70.884,7.53770296332613,"method_Sosik","a","03/04",">0",0.719,0.293,"OOI"
"AR24B",3,"11",2017-10-28 15:49:34,39.9398333333333,-70.884,7.33527223216651,"method_Sosik","a","03/05",">0",0.647,0.307,"OOI"
"AR24B",4,"4",2017-10-28 19:54:27,39.9943333333333,-70.7798333333333,50.7587724368521,"method_Sosik","a","04/01",">0",2.247,1.185,"OOI"
"AR24B",4,"4",2017-10-28 19:54:27,39.9943333333333,-70.7798333333333,50.7587724368521,"method_Sosik","b","04/02",">0",2.28,1.151,"OOI"
"AR24B",4,"7",2017-10-28 19:56:58,39.9943333333333,-70.7798333333333,27.4938721773193,"method_Sosik","a","04/03",">0",0.413,0.208,"OOI"
"AR24B",4,"9",2017-10-28 19:59:08,39.9943333333333,-70.7798333333333,2.48678558727982,"method_Sosik","a","04/04",">0",0.313,0.155,"OOI"
"AR24B",5,"2",2017-10-28 22:37:23,40.0248333333333,-70.6205,102.594716115613,"method_Sosik","a","05/01",">0",0.053,0.098,"OOI"
"AR24B",5,"3",2017-10-28 22:40:35,40.0248333333333,-70.6205,55.6813221740071,"method_Sosik","a","05/02",">0",0.856,0.565,"OOI"
"AR24B",5,"4",2017-10-28 22:42:38,40.0248333333333,-70.6205,27.6565171302142,"method_Sosik","a","05/03",">0",0.289,0.159,"OOI"
