"cruise","date.x","cast","niskin","replicate","depth_rep","filter_id_ooi","filter_size_ooi","Comments","chl_ooi_r","phaeo_ooi_r","filter_size","date.y","latitude","longitude","depth","chl_r","phaeo_r","method_contributor","chl_diff"
"AR24B",2017-10-28,3,"3","a","a","03/01",">0","extreme phaeo:chl ratio but very deep sample so makes sense",0.008,0.03,">0",2017-10-28 15:38:09,39.9398333333333,-70.884,236.099218773015,0.008,0.03,"method_Sosik",0
"AR24B",2017-10-28,3,"7","a","a","03/02",">0",NA,0.778,0.316,">0",2017-10-28 15:47:19,39.9398333333333,-70.884,22.1627932837632,0.778,0.316,"method_Sosik",0
"AR24B",2017-10-28,3,"8","a","b","03/03",">0",NA,0.774,0.331,">0",2017-10-28 15:47:28,39.9398333333333,-70.884,22.2788848725353,0.774,0.331,"method_Sosik",0
"AR24B",2017-10-28,3,"10","a","a","03/04",">0",NA,0.719,0.293,">0",2017-10-28 15:49:26,39.9398333333333,-70.884,7.53770296332613,0.719,0.293,"method_Sosik",0
"AR24B",2017-10-28,3,"11","a","b","03/05",">0",NA,0.647,0.307,">0",2017-10-28 15:49:34,39.9398333333333,-70.884,7.33527223216651,0.647,0.307,"method_Sosik",0
"AR24B",2017-10-28,4,"4","a","a","04/01",">0","added 5ml acetone to extract at measure",2.247,1.185,">0",2017-10-28 19:54:27,39.9943333333333,-70.7798333333333,50.7587724368521,2.247,1.185,"method_Sosik",0
"AR24B",2017-10-28,4,"4","b","b","04/02",">0",NA,2.28,1.151,">0",2017-10-28 19:54:27,39.9943333333333,-70.7798333333333,50.7587724368521,2.28,1.151,"method_Sosik",0
"AR24B",2017-10-28,4,"7","a","a","04/03",">0","added extra acid",0.413,0.208,">0",2017-10-28 19:56:58,39.9943333333333,-70.7798333333333,27.4938721773193,0.413,0.208,"method_Sosik",0
"AR24B",2017-10-28,4,"9","a","a","04/04",">0","there were 2 tissue capsules AR24C but this sample was never found so assume it was typo either on tiss cap or lab NB",0.313,0.155,">0",2017-10-28 19:59:08,39.9943333333333,-70.7798333333333,2.48678558727982,0.313,0.155,"method_Sosik",0
"AR24B",2017-10-28,5,"2","a","a","05/01",">0",NA,0.053,0.098,">0",2017-10-28 22:37:23,40.0248333333333,-70.6205,102.594716115613,0.053,0.098,"method_Sosik",0
"AR24B",2017-10-28,5,"3","a","a","05/02",">0",NA,0.856,0.565,">0",2017-10-28 22:40:35,40.0248333333333,-70.6205,55.6813221740071,0.856,0.565,"method_Sosik",0
"AR24B",2017-10-28,5,"4","a","a","05/03",">0",NA,0.289,0.159,">0",2017-10-28 22:42:38,40.0248333333333,-70.6205,27.6565171302142,0.289,0.159,"method_Sosik",0
"AR24B",2017-10-28,5,"5","a","a","05/04",">0",NA,0.269,0.155,">0",2017-10-28 22:44:33,40.0248333333333,-70.6205,2.83706871514713,0.269,0.155,"method_Sosik",0
"AR24B",2017-10-29,6,"2","a","a","06/01",">0",NA,0.06,0.097,">0",2017-10-29 00:11:41,40.078,-70.7201666666667,92.5913304206944,0.06,0.097,"method_Sosik",0
"AR24B",2017-10-29,6,"3","a","a","06/02",">0",NA,0.397,0.426,">0",2017-10-29 00:15:05,40.078,-70.7201666666667,50.7653310434643,0.397,0.426,"method_Sosik",0
"AR24B",2017-10-29,6,"4","a","a","06/03",">0",NA,0.576,0.295,">0",2017-10-29 00:17:27,40.078,-70.7201666666667,25.7751693412187,0.576,0.295,"method_Sosik",0
"AR24B",2017-10-29,6,"5","a","a","06/04",">0",NA,0.801,0.348,">0",2017-10-29 00:19:15,40.078,-70.7201666666667,2.94918683511609,0.801,0.348,"method_Sosik",0
"AR24B",2017-10-29,7,"1","a","a","07/01",">0",NA,0.107,0.198,">0",2017-10-29 14:48:07,40.1356666666667,-70.7745,127.923424472131,0.107,0.198,"method_Sosik",0
"AR24B",2017-10-29,7,"2","a","b","07/02",">0",NA,0.113,0.168,">0",2017-10-29 14:48:26,40.1356666666667,-70.7745,128.080113998417,0.113,0.168,"method_Sosik",0
"AR24B",2017-10-29,7,"3","a","a","07/03",">0",NA,0.596,0.323,">0",2017-10-29 14:51:44,40.1356666666667,-70.7745,73.2195592850463,0.596,0.323,"method_Sosik",0
"AR24B",2017-10-29,7,"4","a","b","07/04",">0",NA,0.558,0.343,">0",2017-10-29 14:51:54,40.1356666666667,-70.7745,73.0033094939548,0.558,0.343,"method_Sosik",0
