"cruise","cast","niskin","replicate","vol_filtered","filter_size","tau_calibration","fd_calibration","rb","ra","blank","rb_blank","ra_blank","chl","phaeo","date","latitude","longitude","depth"
"EN608",1,2,"a",282,">0",1.90201556461163,0.484236891939179,516.8,298.9,1.05266666666667,515.747333333333,297.847333333333,5.52286045806915,1.28662956329158,2018-01-31 19:34:45,41.19634,-70.87844,17.48
"EN608",1,2,"b",282,">0",1.90201556461163,0.484236891939179,561.5,326.7,1.05266666666667,560.447333333333,325.647333333333,5.95120530314197,1.4938580519641,2018-01-31 19:34:45,41.19634,-70.87844,17.48
"EN608",1,5,"a",287,">0",1.90201556461163,0.484236891939179,493.5,295.2,1.05266666666667,492.447333333333,294.147333333333,4.9385194201141,1.66922138090733,2018-01-31 19:37:05,41.19636,-70.87831,11.591
"EN608",1,5,"b",285,">0",1.90201556461163,0.484236891939179,514.4,298.7,1.05266666666667,513.347333333333,297.647333333333,5.40955117391939,1.32373566634771,2018-01-31 19:37:05,41.19636,-70.87831,11.591
"EN608",1,5,"a",285,"<10",1.90201556461163,0.484236891939179,89.21,56.63,1.05266666666667,88.1573333333333,55.5773333333333,0.817075462430662,0.440177955430089,2018-01-31 19:37:05,41.19636,-70.87831,11.591
"EN608",1,5,"b",283,"<10",1.90201556461163,0.484236891939179,98.44,62.24,1.05266666666667,97.3873333333333,61.1873333333333,0.914277608137961,0.479665569425471,2018-01-31 19:37:05,41.19636,-70.87831,11.591
"EN608",1,9,"a",288,">0",1.90201556461163,0.484236891939179,508.7,296.8,1.05266666666667,507.647333333333,295.747333333333,5.25889400337005,1.36172093508113,2018-01-31 19:40:43,41.19636,-70.87806,7.022
"EN608",1,9,"b",288,">0",1.90201556461163,0.484236891939179,530,307.7,1.05266666666667,528.947333333333,306.647333333333,5.51699923052932,1.34762366571393,2018-01-31 19:40:43,41.19636,-70.87806,7.022
"EN608",1,19,"a",283,">0",1.90201556461163,0.484236891939179,520.7,311.9,1.05266666666667,519.647333333333,310.847333333333,5.27351283367973,1.808075723273,2018-01-31 19:45:42,41.19644,-70.87768,2.726
"EN608",1,19,"b",283,">0",1.90201556461163,0.484236891939179,524.3,309.9,1.05266666666667,523.247333333333,308.847333333333,5.41494804377842,1.62107738428391,2018-01-31 19:45:42,41.19644,-70.87768,2.726
"EN608",1,19,"a",282,"<10",1.90201556461163,0.484236891939179,73,47.69,1.05266666666667,71.9473333333333,46.6373333333333,0.641503433656403,0.424735610360131,2018-01-31 19:45:42,41.19644,-70.87768,2.726
"EN608",1,19,"b",282,"<10",1.90201556461163,0.484236891939179,69.83,46.56,1.05266666666667,68.7773333333333,45.5073333333333,0.589797902061813,0.450606686302482,2018-01-31 19:45:42,41.19644,-70.87768,2.726
"EN608",4,1,"a",282,">0",1.90201556461163,0.484236891939179,374,219.8,1.05266666666667,372.947333333333,218.747333333333,3.90832988817927,1.09274823752473,2018-02-01 05:44:26,41.02064,-70.87162,43.662
"EN608",4,1,"b",282,">0",1.90201556461163,0.484236891939179,382.6,222.1,1.05266666666667,381.547333333333,221.047333333333,4.0680087357508,0.98565279526307,2018-02-01 05:44:26,41.02064,-70.87162,43.662
"EN608",4,4,"a",283,">0",1.90201556461163,0.484236891939179,350.6,203.7,1.05266666666667,349.547333333333,202.647333333333,3.71014863633886,0.906474647642949,2018-02-01 05:47:15,41.02006,-70.87133,29.595
"EN608",4,4,"b",285,">0",1.90201556461163,0.484236891939179,359.7,208.9,1.05266666666667,358.647333333333,207.847333333333,3.78192080216525,0.919937933288824,2018-02-01 05:47:15,41.02006,-70.87133,29.595
"EN608",4,4,"a",286,"<10",1.90201556461163,0.484236891939179,104.2,64.78,1.05266666666667,103.147333333333,63.7273333333333,0.985159467364869,0.451420124960138,2018-02-01 05:47:15,41.02006,-70.87133,29.595
"EN608",4,4,"b",288,"<10",1.90201556461163,0.484236891939179,95.71,60.52,1.05266666666667,94.6573333333333,59.4673333333333,0.873338744589864,0.457900022566749,2018-02-01 05:47:15,41.02006,-70.87133,29.595
"EN608",4,6,"a",287,">0",1.90201556461163,0.484236891939179,368.7,213.7,1.05266666666667,367.647333333333,212.647333333333,3.86016394411339,0.916756671729027,2018-02-01 05:47:34,41.01998,-70.87126,29.461
"EN608",4,6,"b",285,">0",1.90201556461163,0.484236891939179,357.3,207.8,1.05266666666667,356.247333333333,206.747333333333,3.74931803662935,0.927656835625463,2018-02-01 05:47:34,41.01998,-70.87126,29.461
"EN608",4,12,"a",282,">0",1.90201556461163,0.484236891939179,367.3,212.6,1.05266666666667,366.247333333333,211.547333333333,3.92100281258971,0.915466392144275,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"b",282,">0",1.90201556461163,0.484236891939179,351.5,203.7,1.05266666666667,350.447333333333,202.647333333333,3.74611645572565,0.886877832809277,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"a",200,">5",1.90201556461163,0.484236891939179,236.7,146.8,1.05266666666667,235.647333333333,145.747333333333,3.21281445068558,1.48548400718985,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"b",200,">5",1.90201556461163,0.484236891939179,225.3,134.2,1.05266666666667,224.247333333333,133.147333333333,3.2556996268905,1.03642631849141,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"a",283,"<10",1.90201556461163,0.484236891939179,71.95,45.61,1.05266666666667,70.8973333333333,44.5573333333333,0.665250613214196,0.349835147625515,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"b",283,"<10",1.90201556461163,0.484236891939179,97.49,61.12,1.05266666666667,96.4373333333333,60.0673333333333,0.918571177015957,0.449856648368848,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"a",200,">20",1.90201556461163,0.484236891939179,228.3,133.6,1.05266666666667,227.247333333333,132.547333333333,3.38435515550527,0.888429241662657,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",4,12,"b",200,">20",1.90201556461163,0.484236891939179,206.3,124.5,1.05266666666667,205.247333333333,123.447333333333,2.92333951130234,1.05609807128694,2018-02-01 05:52:23,41.01866,-70.87066,3.546
"EN608",5,1,"a",282,">0",1.90201556461163,0.484236891939179,364.7,208.9,1.3165,363.3835,207.5835,3.94888324629267,0.796963412898951,2018-02-01 09:24:00,40.85798,-70.88402,44.244
"EN608",5,1,"b",282,">0",1.90201556461163,0.484236891939179,342.2,194.3,1.3165,340.8835,192.9835,3.74865104060774,0.663405306616902,2018-02-01 09:24:00,40.85798,-70.88402,44.244
"EN608",5,5,"a",287,">0",1.90201556461163,0.484236891939179,327.7,186.1,1.3165,326.3835,184.7835,3.52644654507391,0.624539487908011,2018-02-01 09:26:50,40.85748,-70.8841,30.037
"EN608",5,5,"b",285,">0",1.90201556461163,0.484236891939179,328.6,188.2,1.3165,327.2835,186.8835,3.52109867787799,0.706522638667957,2018-02-01 09:26:50,40.85748,-70.8841,30.037
"EN608",5,9,"a",285,">0",1.90201556461163,0.484236891939179,320.6,182.5,1.3165,319.2835,181.1835,3.46341686192985,0.635260799856254,2018-02-01 09:29:30,40.8568,-70.88424,15.079
