"cruise","cast","date","latitude","longitude","nearest_station","distance_km"
"AR22","1",2017-09-02 15:22:01,41.129833,-70.831333,"MVCO-ASIT",30.99593392716
"AR22","2",2017-09-02 17:43:06,40.796333,-70.828333,"L13",48.17312513597
"AR22","3",2017-09-02 19:59:39,40.500833,-70.8315,"L13",15.84290151208
"AR22","4",2017-09-02 21:02:16,40.42,-70.828167,"L13",7.59446945332
"AR22","5",2017-09-02 22:15:16,40.329667,-70.829333,"L6",5.90790656156
"AR22","6",2017-09-02 23:25:30,40.249833,-70.830333,"L7",5.17979878226
"AR22","7",2017-09-03 00:37:02,40.170667,-70.830333,"L8",6.03162199794
"AR22","8",2017-09-03 01:55:23,40.079333,-70.829333,"L9",5.05220803771
"AR22","9",2017-09-03 02:57:30,39.9995,-70.829833,"L10",8.03325890299
"AR22","10",2017-09-03 04:11:08,39.922,-70.828167,"L12",4.9555404805
"AR22","11",2017-09-03 07:29:16,40.334167,-70.9495,"L6",6.47815751332
"AR22","12",2017-09-03 08:40:27,40.3355,-71.068,"L6",15.9543484577
"AR24A","1",2017-10-22 19:55:49,41.129667,-70.829167,"MVCO-ASIT",30.87985914684
"AR24A","2",2017-10-22 21:14:41,40.9645,-70.8305,"MVCO-ASIT",45.769090129
"AR24A","3",2017-10-22 22:38:07,40.7985,-70.831167,"L13",48.43587929732
"AR24A","4",2017-10-23 00:32:52,40.649,-70.832167,"L13",31.947111808
"AR24A","5",2017-10-23 02:31:37,40.498833,-70.836833,"L6",15.57534443264
"AR24A","6",2017-10-24 01:59:27,40.619667,-70.753,"L13",28.37876213341
"AR24A","7",2017-10-24 03:14:13,40.551167,-70.7515,"L13",20.79611704481
"AR24A","8",2017-10-24 04:16:34,40.492667,-70.7495,"L13",14.3590894325
"AR24A","9",2017-10-24 05:20:23,40.421,-70.750167,"L13",6.57247659143
"AR24A","10",2017-10-24 06:09:45,40.351167,-70.75,"L13",2.61784971745
"AR24A","11",2017-10-24 20:04:33,39.940667,-70.7745,"L12",0.08554446154
"AR24A","12",2017-10-24 21:09:19,40.008333,-70.775667,"L12",7.59850595593
"AR24A","13",2017-10-24 22:11:51,40.073,-70.775333,"L8",7.08318319969
"AR24A","14",2017-10-24 23:10:09,40.138667,-70.779167,"L8",0.41631426033
"AR24A","15",2017-10-25 00:35:36,40.2235,-70.776,"L7",9.11659916843
"AR24A","16",2017-10-25 01:42:00,40.2925,-70.773167,"L13",8.06314056276
"AR24A","17",2017-10-25 02:47:34,40.3645,-70.7725,"L13",0.21898441934
"AR24B","1",2017-10-27 23:53:29,41.130333,-70.8295,"MVCO-ASIT",30.84757058447
"AR24B","2",2017-10-28 02:13:06,40.800167,-70.829,"L13",48.60283655137
"AR24B","3",2017-10-28 15:20:40,39.939833,-70.884,"L10",0.06250100695
"AR24B","4",2017-10-28 19:35:43,39.994333,-70.779833,"L12",6.05558546295
"AR24B","5",2017-10-28 22:25:19,40.024833,-70.6205,"L12",16.1946302161
"AR24B","6",2017-10-29 00:04:08,40.078,-70.720167,"L8",8.02187476993
"AR24B","7",2017-10-29 14:42:27,40.135667,-70.7745,"L8",0.12247670348
"AR24B","8",2017-11-01 02:12:44,39.849667,-70.7355,"L12",10.59477432088
"AR24B","9",2017-11-01 12:40:42,40.363833,-70.8835,"L6",0.06164177542
"AR24B","9b",2017-11-01 12:57:11,40.363833,-70.8835,"L6",0.06164177542
"AR24B","10",2017-11-02 23:03:02,39.923167,-70.908167,"L10",2.82827029914
"AR24B","11",2017-11-03 11:25:33,40.365833,-70.773667,"L13",0.14606131627
"AR24B","12",2017-11-03 12:36:20,40.293167,-70.774667,"L13",7.98752604136
"AR24B","13",2017-11-03 14:15:27,40.219167,-70.775167,"L8",9.1699356165
"AR24B","14",2017-11-03 16:05:46,40.1365,-70.774,"L8",0.08787051511
"AR24B","15",2017-11-03 17:34:51,40.071833,-70.775,"L8",7.21289123715
"AR24B","16",2017-11-03 18:53:53,40.008167,-70.773667,"L12",7.58068604935
"AR24B","17",2017-11-03 19:58:20,39.940833,-70.774333,"L12",0.10868806409
"AR24C","1",2017-11-06 01:56:45,40.801833,-70.8305,"L13",48.79927108187
"AR24C","2",2017-11-06 15:22:07,40.136833,-70.774667,"L8",0.03193846233
"AR24C","3",2017-11-06 20:33:49,40.096167,-70.8835,"L9",0.23778841206
"AR24C","4",2017-11-07 16:27:50,40.227333,-70.8835,"L7",0.07240548338
"AR24C","5",2017-11-08 13:51:02,40.366833,-70.776,"L13",0.22072760401
"AR24C","6",2017-11-08 14:35:53,40.3665,-70.813667,"L13",3.28020346551
"AR24C","7",2017-11-08 15:18:36,40.365167,-70.845333,"L6",3.22341899564
"AR24C","8",2017-11-08 15:56:12,40.363667,-70.882833,"L6",0.05684068617
"AR24C","9",2017-11-09 14:36:49,40.365167,-70.775,"L13",0.01856957832
"AR24C","10",2017-11-10 01:42:43,39.941167,-70.883,"L10",0.13226116343
"AR24C","11",2017-11-11 17:05:39,39.939833,-70.776167,"L12",0.10121100919
"AR24C","12",2017-11-12 04:16:54,40.3635,-70.884167,"L6",0.07674949183
"EN608","1",2018-01-31 19:23:16,41.1965,-70.879333,"L1",0.33265983996
"EN608","2",2018-02-01 00:28:31,41.0285,-70.653333,"u2",0.71812968816
"EN608","3",2018-02-01 03:32:13,41.027,-71.0975,"d2",0.71209605119
"EN608","4",2018-02-01 05:39:58,41.021833,-70.8725,"L2",1.28277014358
"EN608","5",2018-02-01 09:17:29,40.859333,-70.883833,"L3",0.44338238729
"EN608","6",2018-02-01 13:47:26,40.693167,-70.657,"u4",0.66266950672
"EN608","7",2018-02-01 17:30:52,40.691833,-71.097833,"d4",0.71266768281
"EN608","8",2018-02-01 19:15:43,40.697167,-70.8855,"L4",0.1926026104
"EN608","9",2018-02-01 23:33:02,40.524333,-70.893333,"L5",1.05648037055
"EN608","10",2018-02-02 03:59:07,40.361,-70.663333,"u6",0.2921575862
"EN608","11",2018-02-02 06:58:16,40.361667,-71.103333,"d6",0.23004419916
"EN608","12",2018-02-02 09:13:36,40.359,-70.879333,"L6",0.58445797788
"EN608","13",2018-02-02 14:00:51,40.2205,-70.8765,"L7",0.89921634703
"EN608","13b",2018-02-02 15:14:57,40.214667,-70.894,"L7",1.61728268868
"EN608","14",2018-02-02 15:14:57,40.214667,-70.894,"L7",1.61728268868
"EN608","15",2018-02-02 19:00:30,40.125667,-70.797833,"L8",2.29635853473
"EN608","16",2018-02-03 00:24:54,40.096167,-70.6645,"u9",0.24096199765
"EN608","17",2018-02-03 12:39:05,39.7725,-70.672833,"u11",0.53450467376
"EN608","18",2018-02-03 15:41:35,39.771833,-71.100833,"d11",0.17798127661
"EN608","19",2018-02-03 17:45:08,39.768667,-70.885833,"L11",0.55880415054
"EN608","20",2018-02-03 21:07:59,39.929333,-70.768167,"L12",1.32147322612
"EN608","21",2018-02-03 22:37:51,39.932333,-70.888,"L10",0.94201374629
"EN608","22",2018-02-04 03:13:08,40.085833,-70.857167,"L9",2.61983491229
"EN608","23",2018-02-04 06:18:26,40.208833,-70.863,"L7",2.63020567218
"EN608","24",2018-02-04 08:33:57,40.356333,-70.764667,"L13",1.30202747733
"EN608","25",2018-02-04 10:52:04,40.5285,-70.884333,"L5",0.18826056529
