cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo,iode_quality_flag
EN617,1,13-14-15,a,120,>0&<200,2.129904724,1.393,28,16.2,0.513,27.487,15.687,1.549,0.778,1
EN617,1,13-14-15,b,120,>0&<200,2.129904724,1.393,27.8,16.4,0.513,27.287,15.887,1.497,0.860,1
EN617,1,13-14-15,c,120,>0&<200,2.129904724,1.393,27.6,16.7,0.513,27.087,16.187,1.431,0.970,1
EN617,1,13-14-15,a,120,>10&<200,2.129904724,1.393,5.87,3.35,0.513,5.357,2.837,0.331,0.090,1
EN617,1,13-14-15,b,120,>10&<200,2.129904724,1.393,5.6,3.17,0.513,5.087,2.657,0.319,0.075,1
EN617,1,13-14-15,c,120,>10&<200,2.129904724,1.393,6.16,3.53,0.513,5.647,3.017,0.345,0.102,1
EN617,1,13-14-15,a,120,>5&<200,2.129904724,1.393,9.06,5.04,0.513,8.547,4.527,0.528,0.144,1
EN617,1,13-14-15,b,120,>5&<200,2.129904724,1.393,9.68,5.41,0.513,9.167,4.897,0.561,0.166,1
EN617,1,13-14-15,c,120,>5&<200,2.129904724,1.393,9.24,5.21,0.513,8.727,4.697,0.529,0.168,1
EN617,1,13-14-15,a,120,>20&<200,2.129904724,1.393,2.55,1.59,0.513,2.037,1.077,0.126,0.034,1
EN617,1,13-14-15,b,120,>20&<200,2.129904724,1.393,2.06,1.37,0.513,1.547,0.857,0.091,0.037,1
EN617,1,13-14-15,c,120,>20&<200,2.129904724,1.393,1.97,1.26,0.513,1.457,0.747,0.093,0.018,1
EN617,5,17-18-19-20,a,120,>0&<200,2.129904724,1.393,9.16,5.39,0.513,8.647,4.877,0.495,0.229,1
EN617,5,17-18-19-20,b,120,>0&<200,2.129904724,1.393,9.17,5.49,0.513,8.657,4.977,0.483,0.255,1
EN617,5,17-18-19-20,c,120,>0&<200,2.129904724,1.393,9.28,5.6,0.513,8.767,5.087,0.483,0.271,1
EN617,5,17-18-19-20,a,120,>10&<200,2.129904724,1.393,1.08,0.83,0.513,0.567,0.317,0.033,0.014,1
EN617,5,17-18-19-20,b,120,>10&<200,2.129904724,1.393,1,0.78,0.513,0.487,0.267,0.029,0.011,1
EN617,5,17-18-19-20,c,120,>10&<200,2.129904724,1.393,1.09,0.835,0.513,0.577,0.322,0.033,0.014,1
EN617,5,17-18-19-20,a,120,>5&<200,2.129904724,1.393,1.6,1.08,0.513,1.087,0.567,0.068,0.016,1
EN617,5,17-18-19-20,b,120,>5&<200,2.129904724,1.393,1.69,1.12,0.513,1.177,0.607,0.075,0.015,1
EN617,5,17-18-19-20,c,120,>5&<200,2.129904724,1.393,1.63,1.09,0.513,1.117,0.577,0.071,0.015,1
EN617,5,17-18-19-20,a,120,>20&<200,2.129904724,1.393,1.06,0.85,0.513,0.547,0.337,0.028,0.022,1
EN617,5,17-18-19-20,b,120,>20&<200,2.129904724,1.393,1.1,0.859,0.513,0.587,0.346,0.032,0.020,1
EN617,5,17-18-19-20,c,120,>20&<200,2.129904724,1.393,1.12,0.873,0.513,0.607,0.36,0.032,0.021,1
EN617,8,17-18-19-20,a,120,>0&<200,2.129904724,1.393,11.1,6.3,0.507,10.593,5.793,0.630,0.229,1
EN617,8,17-18-19-20,b,120,>0&<200,2.129904724,1.393,10.9,6.27,0.507,10.393,5.763,0.608,0.247,1
EN617,8,17-18-19-20,c,120,>0&<200,2.129904724,1.393,11.3,6.81,0.507,10.793,6.303,0.590,0.346,1
EN617,8,17-18-19-20,a,120,>10&<200,2.129904724,1.393,0.86,0.72,0.507,0.353,0.213,0.018,0.013,1
EN617,8,17-18-19-20,b,120,>10&<200,2.129904724,1.393,0.817,0.68,0.507,0.31,0.173,0.018,0.008,1
EN617,8,17-18-19-20,c,120,>10&<200,2.129904724,1.393,1.18,1.03,0.507,0.673,0.523,0.020,0.058,1
EN617,8,17-18-19-20,a,120,>5&<200,2.129904724,1.393,1.64,1.11,0.507,1.133,0.603,0.070,0.020,1
EN617,8,17-18-19-20,b,120,>5&<200,2.129904724,1.393,1.6,1.08,0.507,1.093,0.573,0.068,0.017,1
EN617,8,17-18-19-20,c,120,>5&<200,2.129904724,1.393,1.67,1.14,0.507,1.163,0.633,0.070,0.024,1
EN617,8,17-18-19-20,a,120,>20&<200,2.129904724,1.393,0.75,0.655,0.507,0.243,0.148,0.012,0.009,1
EN617,8,17-18-19-20,b,120,>20&<200,2.129904724,1.393,0.871,0.703,0.507,0.364,0.196,0.022,0.007,1
EN617,8,17-18-19-20,c,120,>20&<200,2.129904724,1.393,0.757,0.652,0.507,0.25,0.145,0.014,0.008,1
EN617,14,20-21-22-23-24,a,120,>0&<200,2.129904724,1.393,6.57,4.15,0.425,6.145,3.725,0.318,0.235,1
EN617,14,20-21-22-23-24,b,120,>0&<200,2.129904724,1.393,6.69,4.19,0.425,6.265,3.765,0.328,0.230,1
EN617,14,20-21-22-23-24,c,120,>0&<200,2.129904724,1.393,7.36,4.59,0.425,6.935,4.165,0.364,0.254,1
EN617,14,20-21-22-23-24,a,120,>10&<200,2.129904724,1.393,,,0.425,,,,,4
EN617,14,20-21-22-23-24,b,120,>10&<200,2.129904724,1.393,1.38,1.02,0.425,0.955,0.595,0.047,0.041,1
EN617,14,20-21-22-23-24,c,120,>10&<200,2.129904724,1.393,1.37,0.993,0.425,0.945,0.568,0.049,0.035,1
EN617,14,20-21-22-23-24,a,120,>5&<200,2.129904724,1.393,1.88,1.19,0.425,1.455,0.765,0.091,0.023,1
EN617,14,20-21-22-23-24,b,120,>5&<200,2.129904724,1.393,1.95,1.31,0.425,1.525,0.885,0.084,0.047,1
EN617,14,20-21-22-23-24,c,120,>5&<200,2.129904724,1.393,1.93,1.35,0.425,1.505,0.925,0.076,0.061,1
EN617,14,20-21-22-23-24,a,120,>20&<200,2.129904724,1.393,0.798,0.654,0.425,0.373,0.229,0.019,0.015,1
EN617,14,20-21-22-23-24,b,120,>20&<200,2.129904724,1.393,0.813,0.647,0.425,0.388,0.222,0.022,0.011,1
EN617,14,20-21-22-23-24,c,120,>20&<200,2.129904724,1.393,0.801,0.656,0.425,0.376,0.231,0.019,0.015,1
EN617,18,19-20,a,120,>0&<200,2.129904724,1.393,6.23,3.89,0.509,5.7215,3.3815,0.307,0.194,1
EN617,18,19-20,b,120,>0&<200,2.129904724,1.393,6.31,3.7,0.509,5.8015,3.1915,0.343,0.131,1
EN617,18,19-20,c,120,>0&<200,2.129904724,1.393,6.34,4,0.509,5.8315,3.4915,0.307,0.211,1
EN617,18,19-20,a,120,>10&<200,2.129904724,1.393,1.14,0.821,0.509,0.6315,0.3125,0.042,0.004,1
EN617,18,19-20,b,120,>10&<200,2.129904724,1.393,1.05,0.667,0.509,0.5415,0.1585,0.050,-0.027,3
EN617,18,19-20,c,120,>10&<200,2.129904724,1.393,1.05,0.764,0.509,0.5415,0.2555,0.038,0.000,1
EN617,18,19-20,a,120,>5&<200,2.129904724,1.393,1.44,0.973,0.509,0.9315,0.4645,0.061,0.008,1
EN617,18,19-20,b,120,>5&<200,2.129904724,1.393,1.2,0.871,0.509,0.6915,0.3625,0.043,0.011,1
EN617,18,19-20,c,120,>5&<200,2.129904724,1.393,1.35,0.926,0.509,0.8415,0.4175,0.056,0.006,1
EN617,18,19-20,a,120,>20&<200,2.129904724,1.393,0.702,0.598,0.509,0.1935,0.0895,0.014,0.000,1
EN617,18,19-20,b,120,>20&<200,2.129904724,1.393,0.736,0.646,0.509,0.2275,0.1375,0.012,0.009,1
EN617,18,19-20,c,120,>20&<200,2.129904724,1.393,0.743,0.62,0.509,0.2345,0.1115,0.016,0.000,1
EN617,21,14-15,a,120,>0&<200,2.129904724,1.393,33.9,19.1,0.509,33.3915,18.5915,1.943,0.815,1
EN617,21,14-15,b,120,>0&<200,2.129904724,1.393,34.1,19.2,0.509,33.5915,18.6915,1.956,0.817,1
EN617,21,14-15,c,120,>0&<200,2.129904724,1.393,33.2,19.2,0.509,32.6915,18.6915,1.838,0.935,1
EN617,21,14-15,a,120,>10&<200,2.129904724,1.393,9.3,5.11,0.509,8.7915,4.6015,0.550,0.133,1
EN617,21,14-15,b,120,>10&<200,2.129904724,1.393,10.6,5.69,0.509,10.0915,5.1815,0.645,0.124,1
EN617,21,14-15,c,120,>10&<200,2.129904724,1.393,11.1,6.5,0.509,10.5915,5.9915,0.604,0.285,1
EN617,21,14-15,a,120,>5&<200,2.129904724,1.393,13.2,6.77,0.509,12.6915,6.2615,0.844,0.085,1
EN617,21,14-15,b,120,>5&<200,2.129904724,1.393,15.2,7.84,0.509,14.6915,7.3315,0.966,0.121,1
EN617,21,14-15,c,120,>5&<200,2.129904724,1.393,13.9,7.71,0.509,13.3915,7.2015,0.813,0.256,1
EN617,21,14-15,a,120,>20&<200,2.129904724,1.393,1.62,1.11,0.509,1.1115,0.6015,0.067,0.022,1
EN617,21,14-15,b,120,>20&<200,2.129904724,1.393,1.84,1.32,0.509,1.3315,0.8115,0.068,0.052,1
EN617,21,14-15,c,120,>20&<200,2.129904724,1.393,1.75,1.26,0.509,1.2415,0.7515,0.064,0.047,1
EN617,21,17-18,a,120,>0&<200,2.129904724,1.393,14.2,8.45,0.509,13.6915,7.9415,0.755,0.423,1
EN617,21,17-18,b,120,>0&<200,2.129904724,1.393,13.3,8.5,0.509,12.7915,7.9915,0.630,0.555,1
EN617,21,17-18,c,120,>0&<200,2.129904724,1.393,13.3,7.72,0.509,12.7915,7.2115,0.733,0.337,1
EN617,21,17-18,a,120,>10&<200,2.129904724,1.393,3.8,2.22,0.509,3.2915,1.7115,0.207,0.046,1
