cruise,cast,niskin,replicate,vol_filtered,filter_size,tau_calibration,fd_calibration,rb,ra,blank,rb_blank,ra_blank,chl,phaeo
EN649,1,16-17-18,a,152,>0,2.189535,0.331827,368,204,2.085,365.915,201.915,3.954011227,1.836806008
EN649,1,16-17-18,b,152,>0,2.189535,0.331827,348,186,2.085,345.915,183.915,3.905791578,1.368795014
EN649,1,16-17-18,c,152,>0,2.189535,0.331827,350,199,2.085,347.915,196.915,3.640583507,2.006836326
EN649,1,16-17-18,a,152,>10,2.189535,0.331827,247,141,2.085,244.915,138.915,2.555641403,1.428368582
EN649,1,16-17-18,b,152,>10,2.189535,0.331827,236,125,2.085,233.915,122.915,2.676190525,0.848947777
EN649,1,16-17-18,c,152,>10,2.189535,0.331827,219,123,2.085,216.915,120.915,2.314543157,1.153236185
EN649,5,16-17-18,a,152,>0,2.189535,0.331827,221,110,2.1675,218.8325,107.8325,2.676190525,0.416389518
EN649,5,16-17-18,b,152,>0,2.189535,0.331827,217,126,2.1675,214.8325,123.8325,2.193994034,1.357457691
EN649,5,16-17-18,c,152,>0,2.189535,0.331827,207,127,2.1675,204.8325,124.8325,1.928785964,1.651345242
EN649,5,16-17-18,a,152,>10,2.189535,0.331827,101,54.7,2.1675,98.8325,52.5325,1.116284877,0.390319914
EN649,5,16-17-18,b,152,>10,2.189535,0.331827,102,60.5,2.1675,99.8325,58.3325,1.000557719,0.672388057
EN649,5,16-17-18,c,152,>10,2.189535,0.331827,94.2,50.1,2.1675,92.0325,47.9325,1.063243263,0.311435919
EN649,8,21-22-23,a,152,>0,2.189535,0.331827,112,83.6,2.3025,109.6975,81.2975,0.684719017,1.64685102
EN649,8,21-22-23,b,152,>0,2.189535,0.331827,105,79.9,2.3025,102.6975,77.5975,0.605156596,1.620299365
EN649,8,21-22-23,c,152,>0,2.189535,0.331827,109,71.7,2.3025,106.6975,69.3975,0.899296456,1.090987768
EN649,8,21-22-23,a,152,>10,2.189535,0.331827,39.5,22,2.3025,37.1975,19.6975,0.42192193,0.142992131
EN649,8,21-22-23,b,152,>10,2.189535,0.331827,38.7,21.1,2.3025,36.3975,18.7975,0.424332912,0.114769616
EN649,8,21-22-23,c,152,>10,2.189535,0.331827,29.4,21,2.3025,27.0975,18.6975,0.202522526,0.333712054
EN649,12,22-23-24,a,152,>0,2.189535,0.331827,46.5,29.2,1.995,44.505,27.205,0.417099965,0.363125293
EN649,12,22-23-24,b,152,>0,2.189535,0.331827,51.7,33.3,1.995,49.705,31.305,0.443620772,0.454190354
EN649,12,22-23-24,c,152,>0,2.189535,0.331827,51.5,37.3,1.995,49.505,35.305,0.342359509,0.670169538
EN649,12,22-23-24,a,152,>10,2.189535,0.331827,,,1.995,,,,
EN649,12,22-23-24,b,152,>10,2.189535,0.331827,10.1,6.51,1.995,8.105,4.515,0.08655427,0.042933583
EN649,12,22-23-24,c,152,>10,2.189535,0.331827,,,1.995,,,,
EN649,16,9-10,a,152,>0,2.189535,0.331827,44.9,30.2,1.9075,42.9925,28.2925,0.354414421,0.456999771
EN649,16,9-10,b,152,>0,2.189535,0.331827,,,1.9075,,,,
EN649,16,9-10,c,152,>0,2.189535,0.331827,43.3,30.2,1.9075,41.3925,28.2925,0.315838702,0.49557549
EN649,16,9-10,a,152,>10,2.189535,0.331827,8.56,5.63,1.9075,6.6525,3.7225,0.070641786,0.036117579
EN649,16,9-10,b,152,>10,2.189535,0.331827,8.51,5.84,1.9075,6.6025,3.9325,0.064373232,0.048408824
EN649,16,9-10,c,152,>10,2.189535,0.331827,7.71,5.2,1.9075,5.8025,3.2925,0.06051566,0.033911529
EN649,16,14-15,a,152,>0,2.189535,0.331827,53.5,31.7,1.9075,51.5925,29.7925,0.525594175,0.328839237
EN649,16,14-15,b,152,>0,2.189535,0.331827,54.3,34.2,1.9075,52.3925,32.2925,0.484607474,0.441524639
EN649,16,14-15,c,152,>0,2.189535,0.331827,55.4,34,1.9075,53.4925,32.0925,0.515950245,0.404445971
EN649,16,14-15,a,152,>10,2.189535,0.331827,9.75,6.22,1.9075,7.8425,4.3125,0.085107681,0.038572577
EN649,16,14-15,b,152,>10,2.189535,0.331827,9.07,6.16,1.9075,7.1625,4.2525,0.070159589,0.0517999
