cruise,cast,niskin,date_time_utc,latitude,longitude,depth,method_contributor,replicate,filter_size,chl,phaeo,iode_quality_flag,project_id,nearest_station,distance
AR22,1,1,2017-09-02T15:24:59Z,41.1298,-70.8313,27.739,method_Sosik,a,>0,1.218,0.632,1,JP,MVCO,31
AR22,1,1,2017-09-02T15:24:59Z,41.1298,-70.8313,27.739,method_Sosik,b,>0,1.277,0.628,1,JP,MVCO,31
AR22,1,2,2017-09-02T15:27:23Z,41.1298,-70.8313,20.7,method_Sosik,a,>0,NaN,NaN,4,JP,MVCO,31
AR22,1,2,2017-09-02T15:27:23Z,41.1298,-70.8313,20.7,method_Sosik,b,>0,1.504,0.723,1,JP,MVCO,31
AR22,1,3,2017-09-02T15:28:52Z,41.1298,-70.8313,12.637,method_Sosik,a,>0,1.579,0.554,1,JP,MVCO,31
AR22,1,3,2017-09-02T15:28:52Z,41.1298,-70.8313,12.637,method_Sosik,b,>0,1.472,0.615,1,JP,MVCO,31
AR22,1,4,2017-09-02T15:30:00Z,41.1298,-70.8313,2.87,method_Sosik,a,>0,1.142,0.441,1,JP,MVCO,31
AR22,1,4,2017-09-02T15:30:00Z,41.1298,-70.8313,2.87,method_Sosik,b,>0,1.12,0.425,1,JP,MVCO,31
AR22,1,4,2017-09-02T15:30:00Z,41.1298,-70.8313,2.87,method_Sosik,a,>0&<10,0.959,0.319,3,JP,MVCO,31
AR22,1,4,2017-09-02T15:30:00Z,41.1298,-70.8313,2.87,method_Sosik,b,>0&<10,0.654,0.323,3,JP,MVCO,31
AR22,2,1,2017-09-02T17:47:48Z,40.7963,-70.8283,50.748,method_Sosik,a,>0,0.99,0.414,1,JP,L13,48.17
AR22,2,1,2017-09-02T17:47:48Z,40.7963,-70.8283,50.748,method_Sosik,b,>0,0.979,0.398,1,JP,L13,48.17
AR22,2,2,2017-09-02T17:49:24Z,40.7963,-70.8283,40.834,method_Sosik,a,>0,0.484,0.337,1,JP,L13,48.17
AR22,2,2,2017-09-02T17:49:24Z,40.7963,-70.8283,40.834,method_Sosik,b,>0,0.59,0.304,1,JP,L13,48.17
AR22,2,3,2017-09-02T17:51:48Z,40.7963,-70.8283,33.901,method_Sosik,a,>0,1.313,0.696,1,JP,L13,48.17
AR22,2,3,2017-09-02T17:51:48Z,40.7963,-70.8283,33.901,method_Sosik,b,>0,1.388,0.667,1,JP,L13,48.17
AR22,2,4,2017-09-02T17:54:11Z,40.7963,-70.8283,22.856,method_Sosik,a,>0,1.208,0.58,1,JP,L13,48.17
AR22,2,4,2017-09-02T17:54:11Z,40.7963,-70.8283,22.856,method_Sosik,b,>0,1.168,0.621,1,JP,L13,48.17
AR22,2,5,2017-09-02T17:56:00Z,40.7963,-70.8283,12.771,method_Sosik,a,>0,0.796,0.352,1,JP,L13,48.17
AR22,2,5,2017-09-02T17:56:00Z,40.7963,-70.8283,12.771,method_Sosik,b,>0,0.711,0.341,1,JP,L13,48.17
AR22,2,6,2017-09-02T17:57:29Z,40.7963,-70.8283,2.793,method_Sosik,a,>0,0.718,0.271,3,JP,L13,48.17
AR22,2,6,2017-09-02T17:57:29Z,40.7963,-70.8283,2.793,method_Sosik,b,>0,0.688,0.266,1,JP,L13,48.17
AR22,2,6,2017-09-02T17:57:29Z,40.7963,-70.8283,2.793,method_Sosik,a,>0&<10,0.608,0.247,1,JP,L13,48.17
AR22,2,6,2017-09-02T17:57:29Z,40.7963,-70.8283,2.793,method_Sosik,b,>0&<10,0.592,0.29,3,JP,L13,48.17
AR22,3,1,2017-09-02T20:03:40Z,40.5008,-70.8315,69.539,method_Sosik,a,>0,0.309,0.3,3,JP,L13,15.84
AR22,3,1,2017-09-02T20:03:40Z,40.5008,-70.8315,69.539,method_Sosik,b,>0,0.288,0.376,1,JP,L13,15.84
AR22,3,2,2017-09-02T20:05:37Z,40.5008,-70.8315,58.407,method_Sosik,a,>0,0.394,0.319,3,JP,L13,15.84
AR22,3,2,2017-09-02T20:05:37Z,40.5008,-70.8315,58.407,method_Sosik,b,>0,0.393,0.307,1,JP,L13,15.84
AR22,3,3,2017-09-02T20:07:23Z,40.5008,-70.8315,50.412,method_Sosik,a,>0,0.296,0.23,1,JP,L13,15.84
AR22,3,3,2017-09-02T20:07:23Z,40.5008,-70.8315,50.412,method_Sosik,b,>0,0.275,0.237,1,JP,L13,15.84
AR22,3,4,2017-09-02T20:09:15Z,40.5008,-70.8315,30.525,method_Sosik,a,>0,0.678,0.502,1,JP,L13,15.84
AR22,3,4,2017-09-02T20:09:15Z,40.5008,-70.8315,30.525,method_Sosik,b,>0,0.72,0.473,1,JP,L13,15.84
AR22,3,5,2017-09-02T20:11:53Z,40.5008,-70.8315,22.356,method_Sosik,a,>0,1.576,1.011,1,JP,L13,15.84
AR22,3,5,2017-09-02T20:11:53Z,40.5008,-70.8315,22.356,method_Sosik,b,>0,1.61,0.938,1,JP,L13,15.84
AR22,3,6,2017-09-02T20:13:48Z,40.5008,-70.8315,2.533,method_Sosik,a,>0,0.489,0.327,1,JP,L13,15.84
AR22,3,6,2017-09-02T20:13:48Z,40.5008,-70.8315,2.533,method_Sosik,b,>0,0.519,0.328,1,JP,L13,15.84
AR22,3,6,2017-09-02T20:13:48Z,40.5008,-70.8315,2.533,method_Sosik,a,>0&<10,0.453,0.27,1,JP,L13,15.84
AR22,4,1,2017-09-02T21:06:41Z,40.42,-70.8282,77.13,method_Sosik,a,>0,0.361,0.295,1,JP,L13,7.59
AR22,4,1,2017-09-02T21:06:41Z,40.42,-70.8282,77.13,method_Sosik,b,>0,0.351,0.333,1,JP,L13,7.59
AR22,4,2,2017-09-02T21:08:50Z,40.42,-70.8282,66.357,method_Sosik,a,>0,1.291,0.867,1,JP,L13,7.59
AR22,4,2,2017-09-02T21:08:50Z,40.42,-70.8282,66.357,method_Sosik,b,>0,1.508,0.896,1,JP,L13,7.59
AR22,4,3,2017-09-02T21:10:45Z,40.42,-70.8282,50.35,method_Sosik,a,>0,0.201,0.205,1,JP,L13,7.59
AR22,4,3,2017-09-02T21:10:45Z,40.42,-70.8282,50.35,method_Sosik,b,>0,0.255,0.197,1,JP,L13,7.59
AR22,4,4,2017-09-02T21:12:23Z,40.42,-70.8282,30.438,method_Sosik,a,>0,0.914,0.511,1,JP,L13,7.59
AR22,4,4,2017-09-02T21:12:23Z,40.42,-70.8282,30.438,method_Sosik,b,>0,0.868,0.52,1,JP,L13,7.59
AR22,4,5,2017-09-02T21:13:59Z,40.42,-70.8282,19.284,method_Sosik,a,>0,1.08,0.653,1,JP,L13,7.59
AR22,4,5,2017-09-02T21:13:59Z,40.42,-70.8282,19.284,method_Sosik,b,>0,1.069,0.568,1,JP,L13,7.59
AR22,4,6,2017-09-02T21:15:37Z,40.42,-70.8282,2.118,method_Sosik,a,>0,0.595,0.281,1,JP,L13,7.59
AR22,4,6,2017-09-02T21:15:37Z,40.42,-70.8282,2.118,method_Sosik,b,>0,0.609,0.336,1,JP,L13,7.59
AR22,4,6,2017-09-02T21:15:37Z,40.42,-70.8282,2.118,method_Sosik,a,>0&<10,0.507,0.271,1,JP,L13,7.59
AR22,4,6,2017-09-02T21:15:37Z,40.42,-70.8282,2.118,method_Sosik,b,>0&<10,0.486,0.271,1,JP,L13,7.59
AR22,5,1,2017-09-02T22:20:18Z,40.3297,-70.8293,94.145,method_Sosik,a,>0,0.169,0.202,3,JP,L6,5.91
AR22,5,1,2017-09-02T22:20:18Z,40.3297,-70.8293,94.145,method_Sosik,b,>0,0.134,0.22,1,JP,L6,5.91
AR22,5,2,2017-09-02T22:22:14Z,40.3297,-70.8293,70.194,method_Sosik,a,>0,0.119,0.213,3,JP,L6,5.91
AR22,5,2,2017-09-02T22:22:14Z,40.3297,-70.8293,70.194,method_Sosik,b,>0,0.151,0.202,1,JP,L6,5.91
AR22,5,3,2017-09-02T22:24:44Z,40.3297,-70.8293,48.411,method_Sosik,a,>0,0.394,0.228,1,JP,L6,5.91
AR22,5,3,2017-09-02T22:24:44Z,40.3297,-70.8293,48.411,method_Sosik,b,>0,0.381,0.222,1,JP,L6,5.91
AR22,5,4,2017-09-02T22:27:13Z,40.3297,-70.8293,38.449,method_Sosik,a,>0,2.733,1.849,1,JP,L6,5.91
AR22,5,4,2017-09-02T22:27:13Z,40.3297,-70.8293,38.449,method_Sosik,b,>0,3.269,2.03,1,JP,L6,5.91
AR22,5,5,2017-09-02T22:28:42Z,40.3297,-70.8293,27.52,method_Sosik,a,>0,0.428,0.274,1,JP,L6,5.91
AR22,5,5,2017-09-02T22:28:42Z,40.3297,-70.8293,27.52,method_Sosik,b,>0,0.393,0.286,1,JP,L6,5.91
AR22,5,6,2017-09-02T22:30:33Z,40.3297,-70.8293,2.589,method_Sosik,a,>0,0.162,0.07,1,JP,L6,5.91
AR22,5,6,2017-09-02T22:30:33Z,40.3297,-70.8293,2.589,method_Sosik,b,>0,0.157,0.074,1,JP,L6,5.91
