"cruise","cast","niskin","niskin_other_method","date_time_utc","latitude","longitude","depth","method_contributor","replicate","alternate_sample_id","filter_size","chl","phaeo","project_id","nearest_station","distance","quality_flag","iode_quality_flag"
"AR22","1","1",NA,2017-09-02 15:24:59,41.1298,-70.8313,27.739,"method_Sosik","a",NA,">0",1.128,0.652,"JP",NA,NA,1,1
"AR22","1","1",NA,2017-09-02 15:24:59,41.1298,-70.8313,27.739,"method_Sosik","b",NA,">0",1.277,0.628,"JP",NA,NA,1,1
"AR22","1","2",NA,2017-09-02 15:27:23,41.1298,-70.8313,20.7,"method_Sosik","a",NA,">0",1.276,0.544,"JP",NA,NA,3,4
"AR22","1","2",NA,2017-09-02 15:27:23,41.1298,-70.8313,20.7,"method_Sosik","b",NA,">0",1.393,0.75,"JP",NA,NA,1,1
"AR22","1","3",NA,2017-09-02 15:28:52,41.1298,-70.8313,12.637,"method_Sosik","a",NA,">0",1.579,0.554,"JP",NA,NA,1,1
"AR22","1","3",NA,2017-09-02 15:28:52,41.1298,-70.8313,12.637,"method_Sosik","b",NA,">0",1.472,0.615,"JP",NA,NA,1,1
"AR22","1","4",NA,2017-09-02 15:30:00,41.1298,-70.8313,2.87,"method_Sosik","a",NA,">0",1.142,0.441,"JP",NA,NA,1,1
"AR22","1","4",NA,2017-09-02 15:30:00,41.1298,-70.8313,2.87,"method_Sosik","b",NA,">0",1.12,0.425,"JP",NA,NA,1,1
"AR22","1","4",NA,2017-09-02 15:30:00,41.1298,-70.8313,2.87,"method_Sosik","a",NA,">0&<10",0.959,0.319,"JP",NA,NA,2,3
"AR22","1","4",NA,2017-09-02 15:30:00,41.1298,-70.8313,2.87,"method_Sosik","b",NA,">0&<10",0.654,0.323,"JP",NA,NA,2,3
"AR22","10","2",NA,2017-09-03 04:28:00,39.922,-70.8282,501.301,"method_Sosik","a",NA,">0",0.008,0.027,"JP",NA,NA,1,1
"AR22","10","2",NA,2017-09-03 04:28:00,39.922,-70.8282,501.301,"method_Sosik","b",NA,">0",0.009,0.031,"JP",NA,NA,1,1
"AR22","10","3",NA,2017-09-03 04:31:16,39.922,-70.8282,401.437,"method_Sosik","a",NA,">0",0.005,0.027,"JP",NA,NA,1,1
"AR22","10","3",NA,2017-09-03 04:31:16,39.922,-70.8282,401.437,"method_Sosik","b",NA,">0",0.007,0.026,"JP",NA,NA,1,1
"AR22","10","4",NA,2017-09-03 04:34:19,39.922,-70.8282,301.609,"method_Sosik","a",NA,">0",0.009,0.03,"JP",NA,NA,1,1
"AR22","10","4",NA,2017-09-03 04:34:19,39.922,-70.8282,301.609,"method_Sosik","b",NA,">0",0.006,0.025,"JP",NA,NA,1,1
"AR22","10","5",NA,2017-09-03 04:37:17,39.922,-70.8282,202.015,"method_Sosik","a",NA,">0",0.014,0.024,"JP",NA,NA,1,1
"AR22","10","5",NA,2017-09-03 04:37:17,39.922,-70.8282,202.015,"method_Sosik","b",NA,">0",0.014,0.026,"JP",NA,NA,1,1
"AR22","10","6",NA,2017-09-03 04:40:28,39.922,-70.8282,102.203,"method_Sosik","a",NA,">0",0.044,0.043,"JP",NA,NA,1,1
"AR22","10","6",NA,2017-09-03 04:40:28,39.922,-70.8282,102.203,"method_Sosik","b",NA,">0",0.045,0.044,"JP",NA,NA,1,1
"AR22","10","7",NA,2017-09-03 04:43:28,39.922,-70.8282,52.471,"method_Sosik","a",NA,">0",0.572,0.519,"JP",NA,NA,1,1
"AR22","10","7",NA,2017-09-03 04:43:28,39.922,-70.8282,52.471,"method_Sosik","b",NA,">0",0.601,0.55,"JP",NA,NA,1,1
"AR22","10","8",NA,2017-09-03 04:46:09,39.922,-70.8282,2.565,"method_Sosik","a",NA,">0",0.158,0.073,"JP",NA,NA,1,1
"AR22","10","8",NA,2017-09-03 04:46:09,39.922,-70.8282,2.565,"method_Sosik","b",NA,">0",0.153,0.065,"JP",NA,NA,1,1
"AR22","10","8",NA,2017-09-03 04:46:09,39.922,-70.8282,2.565,"method_Sosik","a",NA,">0&<10",0.136,0.071,"JP",NA,NA,1,1
"AR22","10","8",NA,2017-09-03 04:46:09,39.922,-70.8282,2.565,"method_Sosik","b",NA,">0&<10",0.129,0.063,"JP",NA,NA,1,1
"AR22","11","1",NA,2017-09-03 07:33:09,40.3342,-70.9495,85.583,"method_Sosik","a",NA,">0",0.24,0.278,"JP",NA,NA,1,1
"AR22","11","1",NA,2017-09-03 07:33:09,40.3342,-70.9495,85.583,"method_Sosik","b",NA,">0",0.264,0.236,"JP",NA,NA,1,1
"AR22","11","2",NA,2017-09-03 07:34:49,40.3342,-70.9495,68.279,"method_Sosik","a",NA,">0",0.256,0.245,"JP",NA,NA,1,1
"AR22","11","2",NA,2017-09-03 07:34:49,40.3342,-70.9495,68.279,"method_Sosik","b",NA,">0",0.267,0.262,"JP",NA,NA,1,1
"AR22","11","3",NA,2017-09-03 07:36:02,40.3342,-70.9495,53.499,"method_Sosik","a",NA,">0",0.297,0.301,"JP",NA,NA,1,1
"AR22","11","3",NA,2017-09-03 07:36:02,40.3342,-70.9495,53.499,"method_Sosik","b",NA,">0",0.318,0.258,"JP",NA,NA,1,1
"AR22","11","4",NA,2017-09-03 07:37:28,40.3342,-70.9495,42.479,"method_Sosik","a",NA,">0",0.962,0.536,"JP",NA,NA,1,1
"AR22","11","4",NA,2017-09-03 07:37:28,40.3342,-70.9495,42.479,"method_Sosik","b",NA,">0",0.982,0.637,"JP",NA,NA,1,1
"AR22","11","5",NA,2017-09-03 07:38:51,40.3342,-70.9495,23.343,"method_Sosik","a",NA,">0",0.19,0.093,"JP",NA,NA,1,1
"AR22","11","5",NA,2017-09-03 07:38:51,40.3342,-70.9495,23.343,"method_Sosik","b",NA,">0",0.183,0.079,"JP",NA,NA,1,1
"AR22","11","6",NA,2017-09-03 07:40:21,40.3342,-70.9495,3.573,"method_Sosik","a",NA,">0",0.175,0.078,"JP",NA,NA,1,1
"AR22","11","6",NA,2017-09-03 07:40:21,40.3342,-70.9495,3.573,"method_Sosik","b",NA,">0",0.073,0.036,"JP",NA,NA,3,4
"AR22","11","6",NA,2017-09-03 07:40:21,40.3342,-70.9495,3.573,"method_Sosik","a",NA,">0&<10",0.136,0.071,"JP",NA,NA,1,1
"AR22","11","6",NA,2017-09-03 07:40:21,40.3342,-70.9495,3.573,"method_Sosik","b",NA,">0&<10",0.156,0.07,"JP",NA,NA,1,1
"AR22","12","1",NA,2017-09-03 08:44:31,40.3355,-71.068,83.444,"method_Sosik","a",NA,">0",0.247,0.335,"JP",NA,NA,1,1
"AR22","12","1",NA,2017-09-03 08:44:31,40.3355,-71.068,83.444,"method_Sosik","b",NA,">0",0.241,0.321,"JP",NA,NA,1,1
"AR22","12","2",NA,2017-09-03 08:46:34,40.3355,-71.068,58.093,"method_Sosik","a",NA,">0",0.361,0.336,"JP",NA,NA,1,1
"AR22","12","2",NA,2017-09-03 08:46:34,40.3355,-71.068,58.093,"method_Sosik","b",NA,">0",0.329,0.289,"JP",NA,NA,1,1
"AR22","12","3",NA,2017-09-03 08:48:22,40.3355,-71.068,43.347,"method_Sosik","a",NA,">0",0.614,0.438,"JP",NA,NA,1,1
"AR22","12","3",NA,2017-09-03 08:48:22,40.3355,-71.068,43.347,"method_Sosik","b",NA,">0",0.749,0.432,"JP",NA,NA,1,1
"AR22","12","4",NA,2017-09-03 08:49:47,40.3355,-71.068,32.586,"method_Sosik","a",NA,">0",2.367,0.963,"JP",NA,NA,1,1
"AR22","12","4",NA,2017-09-03 08:49:47,40.3355,-71.068,32.586,"method_Sosik","b",NA,">0",2.426,0.952,"JP",NA,NA,1,1
"AR22","12","5",NA,2017-09-03 08:52:06,40.3355,-71.068,23.039,"method_Sosik","a",NA,">0",0.634,0.324,"JP",NA,NA,1,1
"AR22","12","5",NA,2017-09-03 08:52:06,40.3355,-71.068,23.039,"method_Sosik","b",NA,">0",0.637,0.337,"JP",NA,NA,1,1
"AR22","12","6",NA,2017-09-03 08:53:43,40.3355,-71.068,3.353,"method_Sosik","a",NA,">0",0.165,0.069,"JP",NA,NA,1,1
"AR22","12","6",NA,2017-09-03 08:53:43,40.3355,-71.068,3.353,"method_Sosik","b",NA,">0",0.166,0.071,"JP",NA,NA,1,1
"AR22","12","6",NA,2017-09-03 08:53:43,40.3355,-71.068,3.353,"method_Sosik","a",NA,">0&<10",0.139,0.065,"JP",NA,NA,1,1
"AR22","12","6",NA,2017-09-03 08:53:43,40.3355,-71.068,3.353,"method_Sosik","b",NA,">0&<10",0.152,0.066,"JP",NA,NA,1,1
"AR22","2","1",NA,2017-09-02 17:47:48,40.7963,-70.8283,50.748,"method_Sosik","a",NA,">0",0.99,0.414,"JP",NA,NA,1,1
"AR22","2","1",NA,2017-09-02 17:47:48,40.7963,-70.8283,50.748,"method_Sosik","b",NA,">0",0.979,0.398,"JP",NA,NA,1,1
"AR22","2","2",NA,2017-09-02 17:49:24,40.7963,-70.8283,40.834,"method_Sosik","a",NA,">0",0.484,0.337,"JP",NA,NA,1,1
"AR22","2","2",NA,2017-09-02 17:49:24,40.7963,-70.8283,40.834,"method_Sosik","b",NA,">0",0.59,0.304,"JP",NA,NA,1,1
"AR22","2","3",NA,2017-09-02 17:51:48,40.7963,-70.8283,33.901,"method_Sosik","a",NA,">0",1.313,0.696,"JP",NA,NA,1,1
"AR22","2","3",NA,2017-09-02 17:51:48,40.7963,-70.8283,33.901,"method_Sosik","b",NA,">0",1.388,0.667,"JP",NA,NA,1,1
"AR22","2","4",NA,2017-09-02 17:54:11,40.7963,-70.8283,22.856,"method_Sosik","a",NA,">0",1.208,0.58,"JP",NA,NA,1,1
"AR22","2","4",NA,2017-09-02 17:54:11,40.7963,-70.8283,22.856,"method_Sosik","b",NA,">0",1.168,0.621,"JP",NA,NA,1,1
"AR22","2","5",NA,2017-09-02 17:56:00,40.7963,-70.8283,12.771,"method_Sosik","a",NA,">0",0.796,0.352,"JP",NA,NA,1,1
