cruise,cast,niskin,bottle_other_method,date,latitude,longitude,depth,method_contributor,replicate,alternate_sample_id,filter_size,chl,phaeo,project_id,nearest_station,distance,quality_flag
AR24A,1,2,,10/22/2017 20:03,41.13,-70.829,32.5,method_Sosik,a,,>0,2.232245114,1.483148067,LTER,,,1
AR24A,1,2,,10/22/2017 20:03,41.13,-70.829,32.5,method_Sosik,b,,>0,2.215951354,1.649680128,LTER,,,1
AR24A,1,3,,10/22/2017 20:05,41.13,-70.829,20.5,method_Sosik,a,,>0,5.615915932,1.78220993,LTER,,,1
AR24A,1,3,,10/22/2017 20:05,41.13,-70.829,20.5,method_Sosik,b,,>0,5.938170295,1.864945769,LTER,,,1
AR24A,1,5,,10/22/2017 20:07,41.13,-70.829,12.2,method_Sosik,a,,>0,5.273746973,1.885695954,LTER,,,1
AR24A,1,5,,10/22/2017 20:07,41.13,-70.829,12.2,method_Sosik,b,,>0,5.025719738,1.746696261,LTER,,,1
AR24A,1,7,,10/22/2017 20:09,41.13,-70.829,2.9,method_Sosik,a,,>0,3.25151032,0.960322464,LTER,,,1
AR24A,1,7,,10/22/2017 20:09,41.13,-70.829,2.9,method_Sosik,a,,<10,0.742354451,0.331080321,LTER,,,1
AR24A,8,5,,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,a,,>0,0.853122998,0.440755133,LTER,,,1
AR24A,8,5,,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,b,,>0,0.927556548,0.410220958,LTER,,,1
AR24A,8,5,,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,a,,<10,0.545717728,0.283512801,LTER,,,1
AR24A,8,5,,10/24/2017 4:32,40.493,-70.75,2.37,method_Sosik,b,,<10,0.589478112,0.356438917,LTER,,,1
AR24B,0,0,,10/30/2017 18:45,41.36,-70.787,0,method_Sosik,a,,>0,5.347116872,2.237180643,LTER,,,1
